+-----------+------------------------------------+------------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------+
| SCOPE     | NAME                               | FILESIZE   | ADLER32   | RSE: REPLICA                                                                                                                                             |
|-----------+------------------------------------+------------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------|
| mc15_5TeV | AOD.11306439._000001.pool.root.1_0 | 1.506 GB   | 28014ac0  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/5b/1f/AOD.11306439._000001.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000002.pool.root.1_0 | 1.568 GB   | 39ab82a4  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/71/1a/AOD.11306439._000002.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000003.pool.root.1_0 | 2.441 GB   | f04e013a  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/16/40/AOD.11306439._000003.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000004.pool.root.1_0 | 1.955 GB   | 48d7c656  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/7f/b7/AOD.11306439._000004.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000005.pool.root.1_0 | 1.670 GB   | 0dab78d1  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/50/69/AOD.11306439._000005.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000006.pool.root.1_0 | 1.380 GB   | d1a3fd5b  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/94/58/AOD.11306439._000006.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000007.pool.root.1_0 | 1.764 GB   | 8b2bd136  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/91/0f/AOD.11306439._000007.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000008.pool.root.1_0 | 1.764 GB   | aaaa4677  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/88/3b/AOD.11306439._000008.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000009.pool.root.1_0 | 2.417 GB   | 81388850  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/ab/75/AOD.11306439._000009.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000010.pool.root.1_0 | 1.805 GB   | 5b2e94eb  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/1a/08/AOD.11306439._000010.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000011.pool.root.1_0 | 1.511 GB   | e2641eed  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/61/68/AOD.11306439._000011.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000015.pool.root.1_0 | 2.208 GB   | 7917a994  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/f6/77/AOD.11306439._000015.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000016.pool.root.1_0 | 1.845 GB   | cf3092bf  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/f7/b1/AOD.11306439._000016.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000017.pool.root.1_0 | 1.558 GB   | 586fff33  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/6f/6c/AOD.11306439._000017.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000021.pool.root.1_0 | 1.591 GB   | 1eb3cf24  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/42/3e/AOD.11306439._000021.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000022.pool.root.1_0 | 1.984 GB   | cb21f598  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/58/fb/AOD.11306439._000022.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000023.pool.root.1_0 | 2.182 GB   | a7242b47  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/b2/a6/AOD.11306439._000023.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000024.pool.root.1_0 | 1.666 GB   | f53223fc  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/f7/4c/AOD.11306439._000024.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000025.pool.root.1_0 | 2.639 GB   | e9705ac1  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/0c/d4/AOD.11306439._000025.pool.root.1_0 |
| mc15_5TeV | AOD.11306439._000026.pool.root.1_0 | 2.294 GB   | 5a653553  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/99/c5/AOD.11306439._000026.pool.root.1_0 |
| mc15_5TeV | AOD.11475352._000011.pool.root.1_0 | 1.410 GB   | 95bed14f  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/a6/a7/AOD.11475352._000011.pool.root.1_0 |
| mc15_5TeV | AOD.11475352._000012.pool.root.1_0 | 1.378 GB   | 6c8ca682  | BNL-OSG2_PHYS-HI: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/atlasgroupdisk/phys-hi/rucio/mc15_5TeV/08/d2/AOD.11475352._000012.pool.root.1_0 |
