+-----------+----------------------------------+------------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------+
| SCOPE     | NAME                             | FILESIZE   | ADLER32   | RSE: REPLICA                                                                                                                                          |
|-----------+----------------------------------+------------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------|
| data18_hi | AOD.16160600._000011.pool.root.1 | 10.776 GB  | 416db143  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/fe/6a/AOD.16160600._000011.pool.root.1 |
| data18_hi | AOD.16160600._000012.pool.root.1 | 10.762 GB  | d61d1b65  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/06/5c/AOD.16160600._000012.pool.root.1 |
| data18_hi | AOD.16160600._000013.pool.root.1 | 10.772 GB  | e4f2a5e0  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/68/d8/AOD.16160600._000013.pool.root.1 |
| data18_hi | AOD.16160600._000014.pool.root.1 | 10.788 GB  | c2af7a54  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/3d/14/AOD.16160600._000014.pool.root.1 |
| data18_hi | AOD.16160600._000015.pool.root.1 | 10.773 GB  | 6adfa430  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/89/a0/AOD.16160600._000015.pool.root.1 |
| data18_hi | AOD.16160600._000016.pool.root.1 | 10.782 GB  | aeded956  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/15/88/AOD.16160600._000016.pool.root.1 |
| data18_hi | AOD.16160600._000017.pool.root.1 | 10.761 GB  | b5064e2b  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/09/fb/AOD.16160600._000017.pool.root.1 |
| data18_hi | AOD.16160600._000018.pool.root.1 | 10.781 GB  | f033928c  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/9d/07/AOD.16160600._000018.pool.root.1 |
| data18_hi | AOD.16160600._000019.pool.root.1 | 10.768 GB  | 950fcd33  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/67/14/AOD.16160600._000019.pool.root.1 |
