+-----------+----------------------------------+------------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------+
| SCOPE     | NAME                             | FILESIZE   | ADLER32   | RSE: REPLICA                                                                                                                                          |
|-----------+----------------------------------+------------+-----------+-------------------------------------------------------------------------------------------------------------------------------------------------------|
| data18_hi | AOD.16161753._000001.pool.root.1 | 10.056 GB  | d608be77  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/ae/2f/AOD.16161753._000001.pool.root.1 |
| data18_hi | AOD.16161753._000003.pool.root.1 | 10.003 GB  | bdeb4ab1  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/13/85/AOD.16161753._000003.pool.root.1 |
| data18_hi | AOD.16161753._000004.pool.root.1 | 10.007 GB  | e6b7b035  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/ee/35/AOD.16161753._000004.pool.root.1 |
| data18_hi | AOD.16161753._000005.pool.root.1 | 9.991 GB   | 5c0a4cba  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/f6/a5/AOD.16161753._000005.pool.root.1 |
| data18_hi | AOD.16161753._000006.pool.root.1 | 9.968 GB   | beb0b620  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/08/29/AOD.16161753._000006.pool.root.1 |
| data18_hi | AOD.16161753._000007.pool.root.1 | 9.961 GB   | 1b6c7f12  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/92/3e/AOD.16161753._000007.pool.root.1 |
| data18_hi | AOD.16161753._000008.pool.root.1 | 9.462 GB   | 59bcd171  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/00/fc/AOD.16161753._000008.pool.root.1 |
| data18_hi | AOD.16161753._000009.pool.root.1 | 10.044 GB  | f8f9fb6c  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/66/61/AOD.16161753._000009.pool.root.1 |
| data18_hi | AOD.16161753._000010.pool.root.1 | 10.018 GB  | 73841720  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/55/01/AOD.16161753._000010.pool.root.1 |
| data18_hi | AOD.16161753._000011.pool.root.1 | 10.035 GB  | 9b4d9d64  | BNL-OSG2_LOCALGROUPDISK: davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/LOCALGROUPDISK/rucio/data18_hi/30/0b/AOD.16161753._000011.pool.root.1 |
